roi,rho_simple,p_simple,rho_partial,p_partial,attenuation
R_Pole_temporal,0.28918523931311657,0.015952284313081936,0.0010960906101571066,0.9928682218330356,0.2880891487029595
R_S_calcarine,-0.1326635001826818,0.27718470742949886,-0.018450858604311293,0.8803881779516792,0.11421264157837051
R_S_central,0.12254293021556449,0.31580841602349213,0.04767994154183414,0.6972427201746778,0.07486298867373035
R_S_cingul-Marginalis,0.12491779320423824,0.3064491559048696,0.028973328461819516,0.8131817676723992,0.09594446474241872
R_S_circular_insula_ant,0.1490317866276946,0.22164186275803163,0.1471318962367556,0.22765548114377687,0.0018998903909389908
R_S_circular_insula_inf,0.005407380343441725,0.9648272450345222,0.01841432225063939,0.8806232959281506,-0.013006941907197665
R_S_circular_insula_sup,0.020204603580562665,0.8691150019733767,0.01461454146876142,0.9051279697557122,0.005590062111801245
R_S_collat_transv_ant,0.06434051881622216,0.5994209600726004,-0.09663865546218489,0.42957029924992185,-0.03229813664596273
R_S_collat_transv_post,-0.15370843989769822,0.20731549209441685,-0.09886737303617102,0.4189560988267752,0.054841066861527205
R_S_front_inf,0.023565948118377786,0.8475824676777534,0.005443916697113628,0.9645897433380488,0.01812203142126416
R_S_front_middle,0.06328096455973695,0.6054589175592198,0.05199123127511875,0.6713696835207845,0.011289733284618193
R_S_front_sup,0.12393131165509685,0.3103148061854899,0.06368286445012789,0.6031655229838593,0.06024844720496897
R_S_interm_prim-Jensen,0.14855681402995985,0.22313473119121077,0.03218852758494702,0.7928887133803596,0.11636828644501282
R_S_intrapariet_and_P_trans,-0.08553160394592621,0.4846886971226112,-0.08509316770186337,0.486938575128282,0.00043843624406283976
R_S_oc_middle_and_Lunatus,-0.21322616002922912,0.07855657837647899,-0.1524296675191816,0.21116592118768274,0.06079649251004751
R_S_oc_sup_and_transversal,-0.1418706613080015,0.24489855399513225,-0.0957252466203873,0.4339641031602828,0.0461454146876142
R_S_occipital_ant,0.013080014614541469,0.9150504921963438,-0.14954329557910123,0.22004199574150118,-0.13646328096455976
R_S_oc-temp_lat,-0.061563755937157474,0.6153006574290212,-0.17405918889294852,0.15260951755363852,-0.11249543295579105
R_S_oc-temp_med_and_Lingual,-0.238655462184874,0.04828612939818295,-0.05421994884910487,0.6581401343993287,0.18443551333576913
R_S_orbital_lateral,0.1462915601023018,0.23035127319070783,0.08706613080014616,0.47685767470306295,0.05922542930215563
R_S_orbital_med-olfact,-0.2051150895140665,0.09089117233819276,-0.11549141395688711,0.3446666814377791,0.0896236755571794
R_S_orbital-H_Shaped,-0.20942637924735114,0.08415804490062796,0.027475337961271468,0.8226793975367896,0.18195104128607967
R_S_parieto_occipital,-0.10734380708805262,0.37998966205109863,0.005224698575082208,0.966014798856285,0.10211910851297042
R_S_pericallosal,-0.045999269272926566,0.7074248006352051,0.037303617099013524,0.7608901024044118,0.008695652173913042
R_S_postcentral,0.1286445012787724,0.29212827169072586,-0.042893679210814765,0.7263735452464031,0.08575082206795762
R_S_precentral-inf-part,0.07033248081841433,0.5657890179726175,-0.011618560467665328,0.9245125810348862,0.058713920350748995
R_S_precentral-sup-part,0.12941176470588237,0.2892353243905604,-0.007161125319693096,0.9534309828760631,0.12225063938618927
R_S_suborbital,-0.06982097186700768,0.5686251484306404,-0.06320789185239314,0.6058763082225865,0.006613080014614539
R_S_subparietal,0.053781512605042034,0.6607345763273205,0.014760686883449035,0.9041836980386813,0.039020825721593
R_S_temporal_inf,0.14654731457800513,0.2295284771888907,-0.04727804165144319,0.699672802532107,0.09926927292656193
R_S_temporal_sup,0.23847278041651448,0.048463134949176034,0.020387285348922177,0.867942167176975,0.2180854950675923
R_S_temporal_transverse,0.16532700036536357,0.17459590895474542,0.04691267811472415,0.7018845807863631,0.11841432225063941
